id	total_listens
1YUiDKKSD7GIcXyx	1385
1Z5P3BjuKWzGDzoo	3971
1aW5Ixb9QfIBdvSm	4304
1bDlj3qS3HiW5RXE	4782
1cKGmPvdSdGq8jg9	5509
1cUUnlwxUH9rXdBd	1405
1d0rrZRbKBwrZZgz	14789
1dRg09BK9AaMKXDp	585
1eWUxY3hOm6M3Szp	4260
1f13MAfipcAOI0Ju	256
1fDah5r1pTHBacmr	333
1fV600W83BiFAQ1G	1331
1fawLHtXMYdojJyy	176
1gGCHiKSl6C1BHMA	1635
1gbld8XcMm2kb75U	1439
1gdgQLMaOVxRYj3e	6689
1igMFcoVZ7NmcTRl	16094
1jGJykqHcf51qsbE	5429
1jGTlM1C9DAdISn3	1099
1kVUK25G6CXtoSew	728
1lCMmYgppb2NUsL8	4084
1lhDOBoSftrYQJ1Y	1071
1nluAgAtCW9YJOn5	3878
1nzxan7gzSjP5y5p	5630
1oO29RDo0cdUTIdu	6978
1pxcWRpzzFu8X0mY	254
1q9FCk9oVeEUWgYb	226
1shnotxlCl1jutxH	374
1u3dfJg7WTsoJkuF	2259
1uuJTwIZiHWjz5as	1382
1v4kyZpIvuCVoBJo	4072
1wCHJrpVFFoxYRz9	4094
1xZcHK7vFZsfYEqB	7774
1z9tYIGoy19wWctE	3831
1zSnjXmC4fTHSAbC	7569
1zs9IEIPaBcdNXbN	3959
1zvDQm3OpfkzIgMM	836
20EFY8ozh8H7b4eA	18329
20zr6H3cRMCmQpEB	1361
21YjPH9ojuhwM4rF	3451
22aVxYIwhYQb4mhH	298
22ueZuGJzNcqpXW7	18641
24fHFgXbY23gpRzV	230
25DHlgtyST39tV4P	6047
29Hb4oJCgAJKgLjk	91
29aiuKxb44XIiRZ3	4636
2AOZK12SS4jqN0Vu	2069
2AftLTtfpsHexjJQ	77
2Az0PKVYczGuQejd	133
2B3cnBNlwOcc5eYd	6570
2CJ1Jent15MZxXMP	929
2CpsByi1nc1Qne1A	102
2FYQL2dIN8aWb0dC	3217
2H91WLAd7ZZJvAiw	8287
2HJm8jMhcW462w0r	1333
2Hg2uAW57l5GJOKF	3679
2IZjV6srFH5YXkFr	2282
2K0JDCBAlEvRXqrl	1544
2K1SfANKQR6RJHNN	964
2Kcdqzsv695sXQ1J	1239
2N8dziB2ZmsefUHv	43036
2PGRMLWedIL3POUd	3773
2PN0XvpvsvSJzB4M	2810
2PW5Sut3iCaRpdkS	3219
2Q44O3s5OQrptQ3Z	10416
2QOcB4UStpA4QbJH	8055
2Qc6071xvfhWH2T2	682
2QjBaiCeX5bxuQm3	3678
2RCiXlqfzBgsPjRp	749
2ROOBr3KX6LU7qa4	3724
2UbyfJ2ads4YvskN	8654
2UjZzIZjJjFm9Efw	373
2Uy2gQDqnTzxyDzK	767
2VlKYw5QIFuFdxZx	3528
2W3VykgHAXYYFcKz	1070
2WpP3K6hVKeITVvv	229
2WxqYjCRRfIYHt42	20146
2X8q9y8K8F0lVZX4	8869
2XyyURUsZsPTJet6	3206
2YMhCsXXNlDpuuGU	3429
2ar1NoamebhRidi2	154
2bPvsQFjAlyF8cu0	1697
2btvaaxMyGuMNTxy	1146
2cF7HdTqbIb5bw4S	2458
2dpECooyZ5rE45eq	13793
2dpt2co1mEnglsnT	3616
2e57QD3VxrKDiCYG	969
2eKEeOfxNK4bxQp0	7418
2eREUs8hwNGjulGn	1769
2gEq8ocry6T8fyFv	22288
2gOZemjNMZI3P69O	570
2hwKURB3KmwZawRT	5337
2iYRelCCfGkKxQOS	6494
2ju6Tr3mAUMqJs9j	2545
2jvSAsrqAkvOxF2t	1950
2knCAWRqPtjPPoAU	1865
2leXj50v1cWMcYVW	5384
2ln9uBuZQ9VFslZv	2041
2mFJCc2CRmchu6pr	2182
2mXuTlLuoHG7Xgrt	3438
2mc0BbRCeMPz5iU3	5694
2o7MGx76pkt26THN	8844
2obGcG5LsnmNynxI	7229
2p7OjQAWbWDAsjhO	4115
2qwN2iYjxLuJdKLz	1169
2qxOn906ReTdyxk5	1977
2r4vxtHw5W0Fqw2x	9322
2rbwvI5RH2avdDbf	25017
2sPhTCourKP3kNBG	1119
2sdQCGP6CA6lXcmj	430
2tCiohnRFkJrnof8	4217
2wpBAJJvohmYlNLa	7254
2yArja7FuST1MJd2	78246
2yPZFu1aEPIiugQP	2034
2zOjn1hBUfzYfGRP	1252
2zVvGAAPvbIc73pf	552
305Grk7cARdFuECa	5857
30s9OOAoJHxTkOEs	1961
31nn0gSAPo0rAhB6	5936
32m5suoC94ytD8Ed	33559
33cQiYahny0AEjJa	199
34X08ZxyRV0GJF75	1024
36bH1xyw3L0z9Tzo	1728
387hbnHwBbilrbw7	5897
38mNvmgJUzLn7Pf7	16370
39KZDvCtGRZxLH15	4806
3A9xFYR9P4g77E8P	367
3AFJhhbI2bMOuY9r	6677
3AukcIt4tYzkzACJ	6597
3ByWvUb9nHxuhlFF	2288
3C3lZdzO3GOlNSRh	3526
3CZqD0mkHo85uqok	16915
3FWIpbQdyNxQY58H	1808
3FWPspKAxE4uPvLh	7186
3G6YdquxUGPnpubQ	1432
3HDWcbqiTkira9kn	18445
3HPU8KrO0QL5uiN9	149
3ITm8atd8sXaBdan	291
3JE29PEc1nCKyA47	1159
3JEVoDdHRH9DUwH5	6344
3JT6jp2pCjf7BxDX	37113
3Jam9MYrPW5WZMGY	1225
3KhCjRoT8M0JtCNX	1705
3NriP9bCFzLRbDTn	1632
3NyBdzSH2FNfF6i9	121
3OzbkLqFx4zPpNmV	4180
3PNN0FflXSJDEwSx	2941
3QjBz2EA6YU7GWdI	27700
3RMsdVpYg1f9C6ML	13736
3RSMx1HORgQ4zEnp	2539
3RsQHX6UpW9shtiD	478
3SdG6bPltgrwbEQk	3516
3SvKQcw3XiVmeAPo	1775
3TG5SdE73K5IBVJY	848
3ThxO5Q3A29V2vnd	1920
3VAsukfXNv9u3OwS	1248
3XEYqanKwXPluf4B	23047
3Xc8jB7bLI0gyjSH	84
3ZqnBypsQP9ukEiQ	990
3bV2WUGKrR95RiO7	11732
3bejCrhNQlm97r9A	666
3bx5JkcFpvaB6ZDd	1282
3cJaypWniZHpomfi	1042
3e0XQKMklZTueWyP	327
3fuOrQt9qqGmPNQY	3309
3gAarzjRjvrlMdeN	263
3gLEqubu3CcWQGY8	54
3gyuxPBeTCFUOdbc	1090
3jD6xk7bvVmyxioD	15583
3jZ9kyF9qmMjIj14	3508
3kAIoRnx8aJhupuI	5675
3kJHvjAkOZkhJriQ	1945
3kMWkPjw5TnjZwhw	1458
3kMyO7KpX68flfKw	415
3kjR92kZBsyFnY8a	2459
3lvPx9HE1SWqlznN	1367
3nPn3n2vAGS8bhzp	5235
3oksLqX2eLj6uegt	955
3puEiVevhqrziT7t	1856
3q9c7eDhgc5kN9lS	9681
3qU8FreYv8VaAqf3	453
3qnq7Nm1DMbpFq5d	4299
3qrpL2zETF7OPMub	3905
3rPG4lcjVX9ayHvf	467
3rmHRodVfhHkzFYy	5962
3rv3jMJq4kmpHLjr	5937
3sJTyacXESMVxlt4	3484
3saT0fjF814XQz3y	103
3shVYEPlNUCRIuSM	300
3tsQYXWhLxKOL1K4	7962
3u8T1U0ouiAIWpDm	4212
3u9HG5mdlGAJip2Z	29342
3ur9VXvhUvHSMZIK	6959
3ux924VZYedQCq7I	115
3v8XtKKNq40IOHCP	2820
3vbtwqhpTpQXYKs5	47525
3x0r2GzzzL4kYJYb	6809
3xi5ug1ZemhGeJVn	302
3xvLghS9ONpUlIn6	7798
3ynmNiECxG2ibLq8	1177
3zunVGLsZK0jdx8C	2178
40c5Um2HSf3T38fi	11830
42Z44IeAaxsS0s60	2852
42lgtT8t17oN4Cqn	829
42xjjaDcSkA3Qwe0	20090
45V6W7RaVZntv3a5	3050
46HdFphJCvZZ22Y3	1732
46RQFXKoxrsEJ2E1	1713
46hd6CeJOVyu5iSV	3223
47Wi3WzTukTFCsXe	14963
48VdPLCPJnZaYlBX	13278
48mN3L6l1FWVFNUX	12016
49MJR1mgnEvvCxZq	1632
4ACeMZl557qKottu	6258
4BMJzorUAay67wMc	1949
4BrKNjebum035Xqa	12444
4D8c4sSLzfkTCtic	20879
4DoIoGrBablfLnfz	9137
4EI6WTiFv6NSBHpv	1840
4EMe47N12E5EXNK4	2188
4ENRRF5JtUPXH5eD	1365
4I1Cqv2AZRoeCYw9	3259
4I3wc847TUPsZ6CA	1486
4IEwVnBOs4lUe45u	737
4INyHN3euPApEETB	16733
4L4PPHqHo3oRk8pG	9617
4NPojy44QOy14pxM	6272
4Nv8lPqju5kvBQfZ	36370
4NyMsdTfS1vA1Nsz	1590
4ONAqvxI6e1fCoh4	3192
4OjCqlnm8CZZBt4I	2337
4OzypfW25LNW38JW	3530
4S33hRR1kpVqPm1N	19211
4TocbEhLYEqDwVkx	609
4TzvRc17Z1Rn6LWj	2425
4U5K9CSgnSfUbI99	3618
4XBlcmoIA0nOQ3tZ	71
4XGkxX7prt39zmLS	11047
4XdEozQRnksNkNpf	175
4Xz73fxTaye0FTXT	1830
4YXTqCeHYC5L2sCb	1281
4ZvbdBFN1yGp0zXx	2720
4aUucL8bXjDd9I0E	7990
4btGAxG5Jaupx0Z7	18779
4enOjSTsvwZc5aTb	2270
4fxo4XoaT5uRrQWX	1993
4gMuVWDrTgZsGrlR	5132
4gkAsevQ0QF7WnQE	15388
4glaLmaXFAdOw5b2	2184
4hehPXk9aieCA4yy	11350
4hhx6vWu7kA2raej	490
4hxAZE6VRtsms5Ck	1912
4i9YfK4vAvBf6EtA	1600
4iaTgQisCXzHilXK	1415
4jfA6hYpLJgLanGk	3268
4kajxVbud3psfMg2	1567
4lmk8cuLmcBpUEPk	2271
4nU8PD9ZowHL0E6o	2656
4nrsUbWopJfFRC87	9062
4oEK2TmxA9iA2NxY	4849
4obYDGdz4roNJU9f	6003
4p2yCLhkAA7prvDV	893
4qXuDgBO2q1AELxe	10861
4r1IjzqHAOYQlgfS	5667
4sUNaDw0evcjjBzv	1067
4tE73sPTNQvO0BkP	4102
4tcihoDYX1dMfZPp	1085
4vcAwfcLiRYXmSCk	17183
4vu0zQek8fvJ36Xd	13296
4yZwz3moftFlyIGJ	14573
50FPXaR5Oek3HEce	330
51IQ5d92dMnJtrWQ	2103
52YgBm5KkIqYm1MW	2390
52hoe7E9aneLyhe3	3893
536lU8a3xDBRCeWp	7270
53SKtJ2DO2mLFe4r	2442
53mtA7rHOVa6LByt	3294
54DoLsp3poYfXKXK	2333
54aJymX23XS3azJ3	3284
54n3Y8DpQbW5DLMl	8677
54vwzJBm4DgoQd73	2709
563sr6vvVfkIypJH	185
57hhYSWbdr5US8in	2218
58AKiHlTgWevYjgu	2033
59SqMxwz7hiKgavN	343
59c5YcUgzy3P1Upf	1670
59uRghNSX1RUlUrc	147
5A6XJQojTSx3OYqw	2308
5ArM5G1F2qenTBYR	2082
5BGmGbDZzTAAFMhw	376
5BOpMCptzt97VnFI	2259
5CnBh0fLso79stnz	10122
5DEK0zLBVcRoDpbz	61181
5EVNhgK2mbbJluNr	831
5EhorbjgWx6gQWck	3436
5FHNwSlvuGX9nmfK	1571
5GZKFVULYO53NKI2	19735
5GiSC5MfWKV4sDvM	1951
5HUCbUNoE9k6re9g	2225
5HcnAp6rzAm3iQ4A	976
5IPofxaZ2RkUNic1	25073
5IaKy9XqMMdJc1kn	3339
5KAnWG2JzhbMHJ8j	2432
5LYIPSwSlQaz4lGZ	2836
5MoFWswE8vXVBfx2	994
5OZyIKUFBF8GPTx3	3181
5Og0O7jJFSiv8vOS	1349
5PsAhyXTxQowhIUu	3166
5QPsassXbcGgzURx	1043
5QXkR2gamYU3yeXO	2602
5Re3GVjXXJtivatk	598
5S5J81wX2tJKJnUF	70
5SLhbjsCaAAdMGFG	29382
5Slijkwp0xodf4pq	328
5Sphp86gyPJTkqEP	4843
5TSAfFaLzyCRRWMR	338
5TvuejsnPIcemPcR	1687
5WTUO1wRBxg5jpcS	3980
5Wv2GSwBdQfdei32	10886
5XIvF16MD5gTGiQe	501
5Y9q2R3duC1ahXbp	582
5aW0nhBdAWnsvyIg	506
5aamq0ZDRIlBmrf6	538
5abUF4BhtlYweJfe	19794
5bx11dgJlCOOXJMc	1870
5dDcdJt07q8BObYg	5939
5dNXzSICmO7xht4T	5267
5ftT5BqtrCNZLduo	854
5g8LHgR1GND7IY18	4922
5gJNDChPPy56VTcS	4990
5gMjEcghipaC9j64	2138
5h6oAf3UspBplpCe	708
5i9Rj9XyqhEfSegl	2498
5iCtopqaIFEhek0k	7471
5iqaLmEMvzmjz856	7374
5ivR9lZ6yU5OJLXx	1357
5iwqTicdZjaKDNs1	2021
5jZHy79cR5ZQwCZa	6634
5juPSY4xQFCaFPOH	17611
5k0J8Khb6W0O7vt8	4683
5kcVFLKXhQtnqOHT	4767
5kpARud90NdKsnQi	3069
5ks7AuJmO3rNX7pu	8059
5lp2YgwSwZWdmblg	251
5lrdABso6kDuaUiH	8854
5ls2yihhqTvxIcvY	15658
5mEYfsUwcZkCHs1O	3510
5mRvGa9rmO717LqO	946
5qmYk2MSyikNJkmz	15662
5r1cmqvduj3t3knp	247
5rbFm1T97SVnKSWi	1993
5stZqMOVZDKmzPt5	7159
5tkZ6OT9suMcn1r7	2586
5twiZWdoH3ocprjz	433
5tz9TpQKxhnBHxGQ	9533
5uHSQQR4vY303egd	2473
5uyK4MY9X6YPfm7Y	6578
5wVfSvxFsypzRm8n	21015
5zflXXb0H4jm34nI	8075
601FnuW8eUf0G5Pe	528
60IeE2zj5HvBu16D	15994
60OSb9vno2104Lbw	5334
62a8VLBc1KrRU6yh	5608
639ytiX7sK6FFmWT	220
63uoQgWPttYvjRfG	259
64jJ6LiQPvESDq0J	731
65wJ7rgcMWzGIIx9	2545
68x5eRBGjbyhU4Ji	1348
69QbPeCZgeBiMWmG	421
6AE58TT4YyF4Y4oT	6353
6APp9RqrjTj0yxFr	16878
6AYff4IFMcQeMFHi	4240
6B5ZrThNCZqj3AUS	13815
6CX6xTQhSDZuaBtu	6500
6D7zrK0Adoi9k7BF	4085
6DFvffhtHNM9DlsD	170
6DiqMk5OTw4xE8tG	14769
6EN7wcZDMFKu6RVs	113
6F6dOdM6jDsI5kzR	1639
6Ftw9le2dPbPYn9i	1760
6G3q6YqIzBN1JUjc	1929
6G5o4WtQ9pprjq30	2486
6I4Yd9XMdwdbumsp	1023
6KXo2PqyvSeLVEpV	2098
6Ku7bJlCxqrwTQNi	2813
6Kye3758kabvuxIj	8725
6LDVRgNNl10YetmG	5144
6LZBt5z6LRNgpV1Z	419
6MbDjLGnIVuYIWKx	17335
6NNmYh1zeixjYgqx	880
6Npn1U0icaRWsOVw	1753
6Om6cFVYusgHMjv1	3820
6PTU0EEwfcdwK9r6	4244
6PtJA0gCyouQ1DQ3	7704
6Pzfyp9S9R8LNNfB	5577
6Ri9mkCoFzrwoMpS	243
6RqYGJ4HLFTDPL6f	1950
6SBCPEW2mQQDBJWX	7272
6SnqHIrdR2GvswC2	3066
6UwBj2ZaqECiXSba	3218
6VFPcau6SWAqnbaR	20914
6VxPZirqY4c3BsSe	5548
6WMUcUlCp192R943	2053
6WROJ2897HMFDUzY	3253
6Wg6sWouPzXrwvMr	3434
6WlGmqDauWacBf9D	3079
6Z1X16IOPXFYfChb	9520
6Z9e44DMD4Il2ZkD	1191
6ZBmWJ3J4M0vZWNo	4072
6ZEYJA8Jti0lbrtU	492
6ZHo9bElZXJEsqW9	9946
6a0Tl2f8k6Qw9l7l	2698
6awYMzurJ7Btx1CW	16438
6b5RJWnWJXeTXATh	19674
6bdBdG2Dvn1YHVk2	2303
6c9JTPqBiKjCdicL	8150
6cqlKcpBjMCqy42S	6365
6dEpO0Fr5Y1xZjXV	740
6dISXgIemYjVFTG8	499
6dTPUakCVLPE53u3	3013
6ePNRM6rbQuTM5XJ	5129
6hwwpRFIVSAvSOfy	657
6i03to92SG0QWZj5	5760
6iJltNTaoYJiRqpw	5035
6igYOZKOpdfXfcvY	8110
6iiSfk5dDk9nCKVv	1258
6jHyUqmN70v8qKrH	1071
6jmRlLB5lhCBqWfz	1496
6mji1mH3PTqRSwKt	47326
6ocHhFrFH2nu55HW	14183
6pzRV1VflZmltXMI	15158
6qkBRUTftKj9QkyX	21372
6szyNgIfggPDduAg	104
6tRWuK7iWbu3wkFf	1551
6urvk94d6y3xZpvq	37338
6vCOqs3SR2YuKEQB	5055
6vPtCBMsfApvIcnN	7378
6wuMDtSbhevNau8a	6905
6xHlTE7G5TPIszvP	8903
6y7BnaDJFrxa7nP9	682
6yDRqTpLzUxIEMN2	44529
6zDgi5WXaUichqZ7	3783
6zIWCgFobyfSKHBj	3137
6zMoeLIkDHWVWPDL	325
6zakI14PsX55mIRm	2112
719ywCZeDUWyMb4Z	2096
71B6478lDX2d82BZ	1550
71oiNhT2hfimFTmQ	1318
72RUzAtjBnnRpuxN	4220
72YoIVPLHga23QNS	124
75O35BfxRDontLsT	5280
76qenAf8gYlH4pfq	1583
78vsAA2rtnAFZ9xs	2789
79WRogbJa7SDsiqX	10352
7AEO6ySVblr42fGc	2334
7BnOIhASTIIYd3SI	1616
7CMa2kyFICssCSSi	12499
7CWCLgmOANG10fjw	2002
7CzWEPXag7nOVCEQ	591
7F7KQ6YgH6uRr8ex	5670
7Hr7U4NdQ29P8wa8	6733
7JKlKoEKdCA3pGhf	7830
7JyzhUqKBuIi2hXj	4292
7KQdeuXQ5G5mguEy	195
7Kl8eoLOf34MMSnY	1571
7LfUFSaaFyxcITaK	8685
7MfGbFeJhO77dOqe	3009
7O8IsLr2C0zORzqw	884
7ONixpRAwThtWYI7	3016
7OsxMDcFbqdMHXN0	3892
7OzVD8IeM1k1yxlK	8895
7PAc0qJBlSzW7Jlc	12544
7PFbEi2D2e00Pmzo	2416
7T0WFZeGj3i3v13y	6691
7Uj3BkVHozaOtUvM	4999
7VoOnizOYv4SAGnG	16565
7VqoySTCuRZ5O3nE	24867
7WEwJVZhBtNDCSy7	3927
7WzGPQNTJo6KhBVP	12511
7XgULZHph67TLZgR	11912
7YUDrW4v01GSGMGz	2489
7YiiMwCr9p4V9NCc	21701
7ZhsfreCAjHa8Nnh	280
7afnYuMcGVbNxlEG	3577
7ak0DgWafWwGo4T6	6928
7bDdq09ToNnBjdeI	1461
7bkpgHoicnR96Oxv	20538
7daweJ2rhM7Xf4AW	4095
7dkqpG3i6rXfiihP	4684
7dtdyo5hnJj065Xz	5241
7ekrmFU2el0NnRkp	3460
7fQmb3jm6SUCAsaZ	3260
7fngZR6f5InZBUJu	5105
7h6S1UWysGKAxyZf	3993
7iT9ir21vU655SmM	1072
7jJinuX0O32DyNej	562
7jWdVCffEu28450I	3374
7kVURZXnP9Qtb7Ib	38420
7kY3WMJTP9n4NOT8	14125
7lX0wiRVFx54LBrx	6180
7mKInhF7ecbSKvxF	1746
7mcRquWxlc4uvWQD	13209
7mqpWrwbHvHUb0pi	6990
7n72dwiXyN1ajT2p	3965
7nPWce3jydmZ2OXn	5317
7q6FLLhgsPF7oifG	845
7rOelmUwVZhdLPCx	3089
7rsf2fQnYdSADzO1	4233
7s9HbLG6ol1RTlLv	2349
7wd4a0Qec0TYAJhE	1477
7woX9FySIDxg1IGV	7897
7xc9UIb5zPlwc5OA	11249
7yqWw3pZPkcCUC2M	248
7z9iheIcuo5jvNpS	5894
807iBpqlN5mGpuWT	575
80P9k7mawKhBRHbJ	6300
80g2xMkn6RhohY7i	128
85krMisp9eMLODi2	4626
85neaSgs5WK4EczV	2054
873PHsocsWzooGbq	5314
87Ct1HWIQ8QBLuP9	19550
87bPlsijwObv99qL	4117
87dM2jCka3uQ9jCe	4881
87lyKdVukdkdtFoC	4385
883kasCisG2mz2iC	2951
89HLanWesQTluceT	4820
89m9K4zkcXUHp4r7	4830
89mgTzaDI3wcUbPS	15994
8AndPFGwNVCqEtKh	47272
8AvJcHLboetxZZf9	7506
8BWJCPkFxno1cSpW	5254
8C4D2WQXhlWvjyXW	407
8DBFKYPA1fI3PILm	3700
8DKRArbUQzQO3JyI	1722
8ENlnKxaUi8GVC1s	2242
8FDKp7L5a04WFVxO	111
8GRxTPVdJcJi5TCw	19760
8GiGcxrIBOBtFcM1	698
8GmcQtqYZKj7TSFx	363
8GpjcScP9b7XV3Uh	4470
8GzlVkRojEB6Hj7x	5487
8KgXnc0FVKoPu51K	758
8LHClMnjt1RY5bZH	4254
8LSSG51scQ97v94V	750
8OBTXMtAPDhZFzWY	18650
8PJqFLU7ZnLgTF1k	983
8R7mj16KUPRk2bUp	28994
8RJgdNrEKezWc3UW	838
8RQftPNbrlFjDiWW	2317
8RlEvu9LSI3L2kih	2958
8S3GpqtssCqRTASA	1440
8SzvDouEuLcnAEyu	7920
8Ut4t4wQKrknEd4I	398
8VJcjGnIB3EWBqZ6	12977
8WVV9tfgSQHVDehI	2463
8YIf6yx2zgrACgHo	7420
8ZGTcZkH9dGHYgvG	1224
8ZqqgbCYM2p2AuL0	41298
8bDMkSxzls0LlFDF	1496
8cM4LdET14KP9vSR	2350
8cVHDXin8gEdSofU	4789
8cjZoDReCqfre4BJ	6245
8cuW0Czq9znbWWDF	17070
8d7H6X6duAMz3Llj	3939
8dcG2m2GyFqIgDtF	550
8dw9bKWeq2ByiFJ5	61
8eCvig8UachodwS4	323
8eWwHL44pZsj1d8H	2242
8fb1ajrRliRUQObL	1702
8hhTmpStucM5Ql0z	14129
8imJokmAzphbZ4Xh	1083
8kNMyMRHqKNrFkUw	1851
8kPgg9eHU6jnbVsM	1812
8kmKFOfenCvqvoP6	7701
8ktPXbkbLKkfLtnW	885
8mn4GK8r3v50WwQN	1613
8nG0vZiRQXrHbrQK	93147
8nyPt8gB1K8g5FNv	37956
8oVWUPXM0Xm3qQlr	20457
8oVmZB9m77Pfx1eK	2839
8pA5zzOCIpLseP82	62
8pEC63e3yTlJfG7R	625
8qsKHsA7akNyFo0N	1613
8sIDB4EkDjxYK7Su	1153
8t4cEWgwbxLYB3Vg	2161
8tD5IlDTXbjf9BpK	2720
8tRDJXlTPyF5HhPM	13770
8tUUOUHWyVgoZOat	895
